release_year,title,genres,nominated,budget_ranges,revenue_ranges,runtime_ranges,budget,revenue,runtime,winner
1968,Funny Girl,Drama,1,Medium,Medium,High,14000000,52223306,149,0
1968,Oliver!,Drama,1,Medium,Medium,High,10000000,37402877,153,1
1968,Bullitt,Action,1,Medium,Medium,Medium,5500000,42300873,113,0
1968,Funny Girl,Drama,1,Medium,Medium,High,14000000,52223306,149,0
1968,Oliver!,Drama,1,Medium,Medium,High,10000000,37402877,153,1
1968,Star!,Drama,1,Medium,Medium,High,14320000,14000000,176,0
1968,2001: A Space Odyssey,Science,1,Medium,Medium,High,10500000,68700000,149,1
1968,Oliver!,Drama,1,Medium,Medium,High,10000000,37402877,153,0
1968,Rosemary's Baby,Horror,1,Low,Medium,High,3200000,33395426,136,0
1966,The Battle of Algiers,Drama,0,Low,Low,High,800000,921548,121,0
2005,The Producers,Comedy,1,High,Medium,High,45000000,38058335,134,1
1968,2001: A Space Odyssey,Science,1,Medium,Medium,High,10500000,68700000,149,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,0
2010,True Grit,Drama,1,Medium,High,Medium,38000000,252276927,110,1
1969,Bob & Carol & Ted & Alice,Comedy,1,Low,Medium,Medium,2000000,30000000,101,0
1969,Bob & Carol & Ted & Alice,Comedy,1,Low,Medium,Medium,2000000,30000000,101,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,0
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,1
1969,Sweet Charity,Comedy,1,Medium,Medium,High,8000000,20000000,149,0
1969,Bob & Carol & Ted & Alice,Comedy,1,Low,Medium,Medium,2000000,30000000,101,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,1
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,0
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,0
1969,Sweet Charity,Comedy,1,Medium,Medium,High,8000000,20000000,149,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,1
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,1
1969,The Wild Bunch,Adventure,1,Medium,Low,High,6244087,638641,145,0
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,1
1969,Paint Your Wagon,Drama,1,Medium,Medium,High,20000000,31678778,158,0
1969,Sweet Charity,Comedy,1,Medium,Medium,High,8000000,20000000,149,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,1
2010,True Grit,Drama,1,Medium,High,Medium,38000000,252276927,110,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,0
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,0
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,1
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,0
1969,"Hello, Dolly!",Comedy,1,Medium,Medium,High,24000000,33208099,146,1
1969,Midnight Cowboy,Drama,1,Low,Medium,Medium,3600000,44785053,113,1
1969,Bob & Carol & Ted & Alice,Comedy,1,Low,Medium,Medium,2000000,30000000,101,0
1969,Butch Cassidy and the Sundance Kid,History,1,Medium,High,Medium,6000000,102308889,110,1
1969,The Wild Bunch,Adventure,1,Medium,Low,High,6244087,638641,145,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Little Big Man,Adventure,1,Medium,Medium,High,15000000,31559552,139,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,1
1970,M*A*S*H,Comedy,1,Low,Medium,Medium,3500000,81600000,116,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,The Molly Maguires,Drama,1,Medium,Low,High,11000000,2200000,124,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Tora! Tora! Tora!,History,1,Medium,Medium,High,25485000,29548291,144,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,0
1970,Tora! Tora! Tora!,History,1,Medium,Medium,High,25485000,29548291,144,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,M*A*S*H,Comedy,1,Low,Medium,Medium,3500000,81600000,116,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Woodstock,History,1,Low,Medium,High,600000,34505110,225,1
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,M*A*S*H,Comedy,1,Low,Medium,Medium,3500000,81600000,116,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Tora! Tora! Tora!,History,1,Medium,Medium,High,25485000,29548291,144,0
1970,Woodstock,History,1,Low,Medium,High,600000,34505110,225,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,1
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,0
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,M*A*S*H,Comedy,1,Low,Medium,Medium,3500000,81600000,116,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1970,Tora! Tora! Tora!,History,1,Medium,Medium,High,25485000,29548291,144,0
1970,Woodstock,History,1,Low,Medium,High,600000,34505110,225,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,0
1970,Tora! Tora! Tora!,History,1,Medium,Medium,High,25485000,29548291,144,1
1970,Airport,Action,1,Medium,High,High,10000000,100489151,137,0
1970,M*A*S*H,Comedy,1,Low,Medium,Medium,3500000,81600000,116,1
2014,Joe,Drama,1,Low,Low,Medium,4000000,2365467,118,0
1970,Joe,Drama,1,Low,Medium,Medium,106000,19319254,107,0
1970,Love Story,Drama,1,Low,High,Medium,2200000,136400000,99,0
1970,Patton,Drama,1,Medium,Medium,High,12000000,89800000,172,1
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,1
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,0
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,0
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,1
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,0
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,1
1971,The Andromeda Strain,Science,1,Medium,Medium,High,6500000,12376563,131,0
1971,Bedknobs and Broomsticks,Adventure,1,Medium,Medium,Medium,20000000,17900000,117,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,1
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,0
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
1971,Bedknobs and Broomsticks,Adventure,1,Medium,Medium,Medium,20000000,17900000,117,0
1971,A Clockwork Orange,Science,1,Low,Medium,High,2200000,26589000,136,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,0
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,1
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
1971,The Andromeda Strain,Science,1,Medium,Medium,High,6500000,12376563,131,0
1971,A Clockwork Orange,Science,1,Low,Medium,High,2200000,26589000,136,0
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,1
2000,Shaft,Action,1,High,High,Medium,46000000,107196498,99,0
1971,Shaft,Adventure,1,Low,Medium,Medium,4000000,12121618,100,0
2011,Straw Dogs,Drama,1,Medium,Medium,Medium,25000000,10324441,110,0
1971,Straw Dogs,Crime,1,Low,Low,Medium,2200000,3251794,118,0
1971,Bedknobs and Broomsticks,Adventure,1,Medium,Medium,Medium,20000000,17900000,117,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,1
1971,Bedknobs and Broomsticks,Adventure,1,Medium,Medium,Medium,20000000,17900000,117,0
2000,Shaft,Action,1,High,High,Medium,46000000,107196498,99,1
1971,Shaft,Adventure,1,Low,Medium,Medium,4000000,12121618,100,1
1971,A Clockwork Orange,Science,1,Low,Medium,High,2200000,26589000,136,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,0
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,1
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
2001,Evolution,Action,1,High,Medium,Medium,80000000,98376292,101,0
1971,Diamonds Are Forever,Adventure,1,Medium,High,Medium,7200000,116019547,120,0
1971,Fiddler on the Roof,Drama,1,Medium,Medium,High,9000000,83304330,181,1
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,0
1971,Bedknobs and Broomsticks,Adventure,1,Medium,Medium,Medium,20000000,17900000,117,1
1971,A Clockwork Orange,Science,1,Low,Medium,High,2200000,26589000,136,0
1971,The French Connection,Action,1,Low,Medium,Medium,1800000,41158757,104,1
1971,The Last Picture Show,Drama,1,Low,Medium,Medium,1300000,29133000,118,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,1
2007,The Heartbreak Kid,Comedy,1,High,High,Medium,60000000,127766650,116,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
2007,The Heartbreak Kid,Comedy,1,High,High,Medium,60000000,127766650,116,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,Deliverance,Drama,1,Low,Medium,Medium,2000000,46122355,109,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1992,Malcolm X,Drama,1,Medium,Medium,High,34000000,48169908,202,0
1972,Deliverance,Drama,1,Low,Medium,Medium,2000000,46122355,109,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
2015,The Dawns Here Are Quiet,Drama,0,Low,Low,Medium,3300000,5249225,120,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,1
1972,Deliverance,Drama,1,Low,Medium,Medium,2000000,46122355,109,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,1
2009,A Christmas Carol,Animation,1,High,High,Medium,200000000,325233863,96,1
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,0
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,0
1972,The Godfather,Drama,1,Medium,High,High,6000000,245066411,175,1
1972,The Poseidon Adventure,Action,1,Low,Medium,Medium,5000000,84563118,117,1
1972,Last Tango in Paris,Drama,0,Low,Medium,High,1250000,36144000,129,0
1973,Serpico,Crime,1,Low,Medium,High,3000000,29800000,129,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,American Graffiti,Comedy,1,Low,High,Medium,777000,140000000,110,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,American Graffiti,Comedy,1,Low,High,Medium,777000,140000000,110,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1972,Last Tango in Paris,Drama,0,Low,Medium,High,1250000,36144000,129,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,American Graffiti,Comedy,1,Low,High,Medium,777000,140000000,110,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,Papillon,Crime,1,Medium,Medium,High,12000000,53267000,151,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,Live and Let Die,Adventure,1,Medium,High,High,7000000,161777836,121,0
2010,Robin Hood,Action,1,High,High,High,200000000,310669540,140,0
1973,Robin Hood,Animation,1,Medium,Medium,Low,15000000,32056467,83,0
1973,American Graffiti,Comedy,1,Low,High,Medium,777000,140000000,110,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,1
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,0
1973,The Exorcist,Drama,1,Medium,High,High,8000000,441306145,122,1
1973,Serpico,Crime,1,Low,Medium,High,3000000,29800000,129,0
1973,American Graffiti,Comedy,1,Low,High,Medium,777000,140000000,110,0
1973,The Sting,Comedy,1,Medium,High,High,5500000,159616327,129,1
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,Blazing Saddles,Western,1,Low,High,Low,2600000,119500000,93,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,Earthquake,Action,1,Medium,Medium,High,7000000,79666653,123,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,Earthquake,Action,1,Medium,Medium,High,7000000,79666653,123,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,1
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
2013,The Great Gatsby,Drama,1,High,High,High,105000000,351040419,143,1
1974,The Great Gatsby,Drama,1,Medium,Medium,High,6500000,26533200,144,1
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,Blazing Saddles,Western,1,Low,High,Low,2600000,119500000,93,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,Earthquake,Action,1,Medium,Medium,High,7000000,79666653,123,0
2005,The Longest Yard,Comedy,1,High,High,Medium,82000000,190320568,113,0
1974,The Longest Yard,Crime,1,Low,Medium,High,2900000,43008075,121,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,1
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,0
2013,The Great Gatsby,Drama,1,High,High,High,105000000,351040419,143,1
1974,The Great Gatsby,Drama,1,Medium,Medium,High,6500000,26533200,144,1
2015,The Little Prince,Adventure,1,High,Medium,Low,64000000,97571250,92,0
1974,Blazing Saddles,Western,1,Low,High,Low,2600000,119500000,93,0
2015,The Little Prince,Adventure,1,High,Medium,Low,64000000,97571250,92,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,1
2016,Gold,Thriller,1,Medium,Medium,Medium,20000000,7227038,120,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,The Conversation,Crime,1,Low,Low,Medium,1600000,4420000,113,0
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,0
1974,The Conversation,Crime,1,Low,Low,Medium,1600000,4420000,113,0
1974,Earthquake,Action,1,Medium,Medium,High,7000000,79666653,123,1
1974,The Towering Inferno,Action,1,Medium,High,High,14000000,116000000,159,0
1974,Young Frankenstein,Comedy,1,Low,Medium,Medium,2800000,86273333,106,0
1974,Chinatown,Crime,1,Medium,Medium,High,6000000,30000000,130,1
1974,The Conversation,Crime,1,Low,Low,Medium,1600000,4420000,113,0
1974,Young Frankenstein,Comedy,1,Low,Medium,Medium,2800000,86273333,106,0
1974,Earthquake,Action,1,Medium,Medium,High,7000000,79666653,123,1
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,0
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,0
1975,Tommy,Drama,1,Low,Medium,Medium,5000000,34251525,111,0
1975,"Farewell, My Lovely",Crime,1,Low,Low,Low,2500000,2000000,95,0
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,1
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,1
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,1
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,0
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,0
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,0
1975,Jaws,Horror,1,Medium,High,High,7000000,470654000,124,1
1992,Scent of a Woman,Drama,1,Medium,High,High,31000000,134095253,157,0
1975,Jaws,Horror,1,Medium,High,High,7000000,470654000,124,1
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,1
1975,Tommy,Drama,1,Low,Medium,Medium,5000000,34251525,111,0
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,0
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,0
1975,Jaws,Horror,1,Medium,High,High,7000000,470654000,124,0
1975,Jaws,Horror,1,Medium,High,High,7000000,470654000,124,1
1975,Dog Day Afternoon,Crime,1,Low,Medium,High,1800000,46665856,125,1
1975,Barry Lyndon,Drama,1,Medium,Medium,High,11000000,20000000,184,0
1992,Scent of a Woman,Drama,1,Medium,High,High,31000000,134095253,157,0
1976,Taxi Driver,Crime,1,Low,Medium,Medium,1300000,28262574,114,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,1
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
1976,Marathon Man,Thriller,1,Medium,Medium,High,6500000,21709020,125,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,1
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,1
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
2013,Carrie,Drama,1,Medium,Medium,Medium,30000000,82394288,100,0
1976,Carrie,Horror,1,Low,Medium,Medium,1800000,33800000,98,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,0
1976,Taxi Driver,Crime,1,Low,Medium,Medium,1300000,28262574,114,0
2013,Carrie,Drama,1,Medium,Medium,Medium,30000000,82394288,100,0
1976,Carrie,Horror,1,Low,Medium,Medium,1800000,33800000,98,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,1
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,1
1976,Logan's Run,Adventure,1,Medium,Medium,Medium,9000000,25000000,119,0
2005,King Kong,Adventure,1,High,High,High,207000000,550000000,187,0
1976,King Kong,Adventure,1,Medium,Medium,High,23000000,90614445,134,0
1933,King Kong,Action,1,Low,Medium,Medium,672000,10000000,100,0
1976,Logan's Run,Adventure,1,Medium,Medium,Medium,9000000,25000000,119,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,1
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,1
2006,The Omen,Drama,1,Medium,High,Medium,25000000,119188334,110,1
1976,The Omen,Horror,1,Low,Medium,Medium,2800000,60922980,111,1
1976,The Outlaw Josey Wales,Drama,1,Low,Medium,High,3700000,31800000,135,0
1976,Taxi Driver,Crime,1,Low,Medium,Medium,1300000,28262574,114,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
2006,The Omen,Drama,1,Medium,High,Medium,25000000,119188334,110,0
1976,The Omen,Horror,1,Low,Medium,Medium,2800000,60922980,111,0
1976,The Pink Panther Strikes Again,Comedy,1,Medium,Medium,Medium,6000000,33833201,103,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,1
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,0
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,1
1976,Taxi Driver,Crime,1,Low,Medium,Medium,1300000,28262574,114,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,1
2005,King Kong,Adventure,1,High,High,High,207000000,550000000,187,0
1976,King Kong,Adventure,1,Medium,Medium,High,23000000,90614445,134,0
1933,King Kong,Action,1,Low,Medium,Medium,672000,10000000,100,0
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
1976,Silver Streak,Comedy,1,Medium,Medium,Medium,6500000,51079064,114,0
1976,A Star Is Born,Drama,1,Medium,High,High,6000000,161000000,139,0
1976,All the President's Men,Drama,1,Medium,Medium,High,8500000,70600000,138,1
1976,Network,Drama,1,Low,Medium,High,3800000,23689877,121,1
1976,Rocky,Drama,1,Low,High,Medium,1000000,117235147,119,0
2005,King Kong,Adventure,1,High,High,High,207000000,550000000,187,1
1976,King Kong,Adventure,1,Medium,Medium,High,23000000,90614445,134,1
1933,King Kong,Action,1,Low,Medium,Medium,672000,10000000,100,1
1976,Logan's Run,Adventure,1,Medium,Medium,Medium,9000000,25000000,119,1
1977,Annie Hall,Comedy,1,Low,Medium,Low,4000000,38251425,93,0
1977,Saturday Night Fever,Drama,1,Low,High,Medium,3500000,237113184,118,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,1
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,Annie Hall,Comedy,1,Low,Medium,Low,4000000,38251425,93,1
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,1
1977,Airport '77,Action,1,Medium,Medium,Medium,6000000,30000000,114,0
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
1977,The Spy Who Loved Me,Adventure,1,Medium,High,High,14000000,185438673,125,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,1
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,Airport '77,Action,1,Medium,Medium,Medium,6000000,30000000,114,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
2002,A Little Night Music,Comedy,0,Low,Low,Low,200000,286000,95,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
1977,Annie Hall,Comedy,1,Low,Medium,Low,4000000,38251425,93,1
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,0
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,The Spy Who Loved Me,Adventure,1,Medium,High,High,14000000,185438673,125,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
2002,A Little Night Music,Comedy,0,Low,Low,Low,200000,286000,95,1
2016,Pete's Dragon,Adventure,1,High,High,Medium,65000000,143695338,102,0
2016,Pete's Dragon,Adventure,1,High,High,Medium,65000000,143695338,102,0
1977,The Spy Who Loved Me,Adventure,1,Medium,High,High,14000000,185438673,125,0
1977,The Rescuers,Fantasy,1,Low,Medium,Low,1200000,71215869,78,0
1977,Annie Hall,Comedy,1,Low,Medium,Low,4000000,38251425,93,1
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,0
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
1977,Sorcerer,Action,1,Medium,Medium,High,22000000,12000000,121,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,0
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,1
2008,Julia,Drama,1,Medium,Low,High,6000000,1300000,138,1
1977,Annie Hall,Comedy,1,Low,Medium,Low,4000000,38251425,93,1
1977,Star Wars,Adventure,1,Medium,High,High,11000000,775398007,121,0
1977,Close Encounters of the Third Kind,Science,1,Medium,High,High,20000000,303788635,135,1
1978,The Buddy Holly Story,Drama,1,Low,Medium,Medium,1200000,14363400,113,0
1978,The Deer Hunter,Drama,1,Medium,Medium,High,15000000,50000000,183,0
